1347750,小さい,ちいさい,little
2136180,小さな,ちいさな,little
1242130,近い,ちかい,near
1158880,違う,ちがう,to differ
1242160,近く,ちかく,near
1420900,地下鉄,ちかてつ,underground train
1421290,地図,ちず,map
1422720,茶色,ちゃいろ,brown
1597530,,ちゃわん,rice bowl
1163940,,ちょっと,somewhat
2225040,一日,ついたち,first of month
1305990,使う,つかう,to use
1483740,疲れる,つかれる,to get tired
1316380,次,つぎ,next
1422970,着く,つく,to arrive at
1220210,机,つくえ,desk
1597890,作る,つくる,to make
1240825,勤める,つとめる,to work for someone
1008190,,つまらない,boring
1556730,冷たい,つめたい,cold to the touch
1236070,強い,つよい,powerful
1327190,手,て,hand
1078750,,テープ,tape
1078630,,テーブル,table
1078810,,テープレコーダー,tape recorder
1598550,出かける,でかける,to go out
1327720,手紙,てがみ,letter
1338850,出口,でぐち,exit
1079760,,テスト,test
1083590,,デパート,department store
1008460,,でも,but
1338240,出る,でる,"to appear,to leave"
1080510,,テレビ,television
1438690,天気,てんき,weather
1443000,電気,でんき,"electricity,electric light"
1443530,電車,でんしゃ,electric train
1443840,電話,でんわ,telephone
1266970,戸,と,Japanese style door
1087820,,ドア,Western style door
1084810,,トイレ,toilet
1466940,,どうして,for what reason
1189130,,どうぞ,please
1451470,動物,どうぶつ,animal
1009000,,どうも,thanks
1177800,遠い,とおい,far
1335000,十日,とおか,"ten days,the tenth day"
1598680,時々,ときどき,sometimes
1316140,時計,とけい,"watch,clock"
1577140,,どこ,where
1343100,所,ところ,place
1468060,年,とし,year
1370420,図書館,としょかん,library
1189360,,どちら,which of two
1189360,,どっち,which
1008630,,とても,very
1189370,,どなた,who
1555830,隣,となり,next door to
1429700,飛ぶ,とぶ,"to fly,to hop"
1310620,止まる,とまる,to come to a halt
1540170,友達,ともだち,friend
1445590,土曜日,どようび,Saturday
1430250,鳥,とり,bird
1253020,とり肉,とりにく,chicken meat
1326980,取る,とる,to take something
1298790,撮る,とる,to take a photo or record a film
1009290,,どれ,which (of three or more)
1089890,,ナイフ,knife
1423310,中,なか,middle
1429750,長い,ながい,long
